-0.052104, 0.169592, 0.048156, 	0.125, 1, 		-0.49, 0.2944, 0.8205, 

0.002926, 0.24649, -0.02333, 	0, 0, 		-0.8788, -0.1057, -0.4654, 
0.014316, 0.249027, -0.047581, 	0, 0, 		-0.8891, -0.1484, -0.4331, 
0.017189, 0.233258, -0.046388, 	0, 0, 		-0.8802, -0.1932, -0.4336, 
-0.031507, 0.079462, 0.040346, 	0.166667, 1, 		-0.2812, -0.8322, 0.4778, 
-0.057036, 0.097496, 0.056699, 	0.125, 1, 		-0.2824, -0.8323, 0.477, 
-0.043519, 0.079462, 0.033286, 	0.125, 1, 		-0.2812, -0.8319, 0.4784, 

-0.019495, 0.079462, 0.047407, 	0.208333, 1, 		-0.2808, -0.8328, 0.4771, 
-0.045054, 0.097496, 0.06381, 	0.166667, 1, 		-0.2824, -0.8326, 0.4764, 
-0.031507, 0.079462, 0.040346, 	0.166667, 1, 		-0.2812, -0.8322, 0.4778, 
-0.039404, 0.057162, 0.049715, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.05446, 0.072541, 0.040865, 	0.125, 1, 		-0.5067, 0, 0.8621, 
-0.05446, 0.057162, 0.040865, 	0.125, 1, 		-0.5067, 0, 0.8621, 

-0.024348, 0.057162, 0.058565, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.039404, 0.072541, 0.049715, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.039404, 0.057162, 0.049715, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.039404, 0.072541, 0.049715, 	0.166667, 1, 		-0.2519, 0.8677, 0.4286, 
-0.043519, 0.079462, 0.033286, 	0.125, 1, 		-0.3649, 0.887, 0.2831, 
-0.05446, 0.072541, 0.040865, 	0.125, 1, 		-0.3702, 0.8871, 0.2756, 

-0.024348, 0.072541, 0.058565, 	0.208333, 1, 		-0.2519, 0.8677, 0.4286, 
-0.031507, 0.079462, 0.040346, 	0.166667, 1, 		-0.2519, 0.8677, 0.4286, 
-0.039404, 0.072541, 0.049715, 	0.166667, 1, 		-0.2519, 0.8677, 0.4286, 
-0.042363, 0.05101, 0.031732, 	0.125, 1, 		-0.3001, -0.9266, 0.2266, 
-0.039404, 0.057162, 0.049715, 	0.166667, 1, 		-0.2038, -0.9155, 0.3467, 
-0.05446, 0.057162, 0.040865, 	0.125, 1, 		-0.3001, -0.9266, 0.2266, 

-0.018918, 0.05101, 0.045513, 	0.208333, 1, 		-0.2038, -0.9155, 0.3467, 
-0.039404, 0.057162, 0.049715, 	0.166667, 1, 		-0.2038, -0.9155, 0.3467, 
-0.030641, 0.05101, 0.038623, 	0.166667, 1, 		-0.2038, -0.9155, 0.3467, 
